time,joint_positions,gripper_state,cube_position,target_position,actions,camera1_image_paths,camera2_image_paths
0,"[-0.0026447235140949488, -1.8513911962509155, 0.2945704758167267, -0.002811265178024769, 9.360270632896572e-05, -3.1108309485716745e-05, -3.845941319013946e-05, -5.288283500703983e-05, 0.011795649304986, 0.03158601373434067, 0.019958361983299255, 0.07970396429300308, -0.019850878044962883, -0.07791735976934433]","[-3.845941319013946e-05, -5.288283500703983e-05]","[0.6000000238418579, 0.30000001192092896, 0.8418251276016235]","[0.8, 0.7, 1.0]","{'joint_positions': array([-3.6322298e-03, -1.8554764e+00,  3.3556771e-01, -1.8720742e-02,
        5.9545838e-04,  6.8909791e-03], dtype=float32), 'joint_velocities': array([-0.05925076, -0.24511336,  1.6266028 , -0.9545657 ,  0.03011148,
        0.41532522], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
1,"[-0.0026896020863205194, -1.851104974746704, 0.32167619466781616, -0.019023651257157326, 0.0006593948346562684, 0.006988729350268841, 0.00015948922373354435, -1.9156192138325423e-05, 0.013234077021479607, 0.011297989636659622, 0.03287314996123314, 0.029004842042922974, -0.03209257498383522, -0.028139812871813774]","[0.00015948922373354435, -1.9156192138325423e-05]","[0.6000000238418579, 0.30000001192092896, 0.8309246301651001]","[0.8, 0.7, 1.0]","{'joint_positions': array([-2.7021496e-03, -1.8510727e+00,  3.5024741e-01, -3.4573521e-02,
        1.0661811e-03,  1.3458122e-02], dtype=float32), 'joint_velocities': array([-7.5312320e-04,  1.9362067e-03,  8.8092172e-01, -9.3298864e-01,
        2.4407331e-02,  3.8816357e-01], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
2,"[-0.0026817703619599342, -1.850257396697998, 0.33675628900527954, -0.033497218042612076, 0.0010589163284748793, 0.01351796556264162, 0.004446602426469326, 0.005080285016447306, 0.0174166951328516, 2.712569767027162e-06, 0.038498084992170334, -0.005082627292722464, -0.03734252601861954, 0.004997999407351017]","[0.004446602426469326, 0.005080285016447306]","[0.6002272963523865, 0.2999882698059082, 0.8238813877105713]","[0.8, 0.7, 1.0]","{'joint_positions': array([-2.6850789e-03, -1.8500397e+00,  3.5147682e-01, -4.8930131e-02,
        1.4616915e-03,  1.9988328e-02], dtype=float32), 'joint_velocities': array([ 0.02893349,  0.14429712,  0.5008304 , -0.19822842,  0.04744544,
        0.38976786], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
3,"[-0.0025104922242462635, -1.8488389253616333, 0.34503695368766785, -0.03709698095917702, 0.0018576221773400903, 0.02004227414727211, 0.0051319291815161705, 0.005410418380051851, 0.010421746410429478, 1.8922341951110866e-06, 0.020968472585082054, -0.005461623892188072, -0.020255379378795624, 0.005442210007458925]","[0.0051319291815161705, 0.005410418380051851]","[0.6002574563026428, 0.2999993562698364, 0.8238813877105713]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.00223199, -1.8466088 ,  0.3533442 , -0.04051054,  0.00265258,
        0.02653721], dtype=float32), 'joint_velocities': array([-0.04037458,  0.53343415,  0.0451322 ,  0.14808275,  0.4933191 ,
        0.33686453], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
4,"[-0.0026472052559256554, -1.8424391746520996, 0.34566107392311096, -0.034940194338560104, 0.010105940513312817, 0.02569185197353363, 0.002891944255679846, 0.0028648742008954287, 1.0749585044322885e-06, 0.009204746223986149, -0.0032599889673292637, 0.02006683684885502, 0.0032107667066156864, -0.01939457096159458]","[0.002891944255679846, 0.0028648742008954287]","[0.600257933139801, 0.2999988794326782, 0.8238812685012817]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.00303214, -1.8353294 ,  0.3464137 , -0.03247427,  0.01832843,
        0.03130616], dtype=float32), 'joint_velocities': array([-0.05368492,  0.63192385, -0.11389743,  0.2522516 ,  0.5984431 ,
        0.31391034], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
5,"[-0.0032444570679217577, -1.8336303234100342, 0.34359830617904663, -0.03124738670885563, 0.02012193389236927, 0.03095921128988266, 0.0006177584873512387, 0.0004988217260688543, -5.610095286101568e-07, 0.02062835916876793, -0.00046489620581269264, 0.0505136102437973, 0.0004783962504006922, -0.04918455705046654]","[0.0006177584873512387, 0.0004988217260688543]","[0.6002576947212219, 0.29999852180480957, 0.8238810896873474]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.0039863 , -1.8237085 ,  0.3417004 , -0.02704564,  0.03009572,
        0.03619083], dtype=float32), 'joint_velocities': array([-0.07402071,  0.6461573 , -0.15716252,  0.26818913,  0.6140448 ,
        0.31702328], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
6,"[-0.004160924814641476, -1.824057936668396, 0.34089288115501404, -0.027099359780550003, 0.03039160557091236, 0.03627876564860344, -1.504244573879987e-05, -6.364415457937866e-05, 0.006466729566454887, 0.02965659461915493, 0.01625753566622734, 0.07349958270788193, -0.01579119823873043, -0.071700319647789]","[-1.504244573879987e-05, -6.364415457937866e-05]","[0.6002578139305115, 0.29999881982803345, 0.8238812685012817]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.00522523, -1.8135006 ,  0.33822656, -0.02276417,  0.04063088,
        0.0415605 ], dtype=float32), 'joint_velocities': array([-0.07928381,  0.6542945 , -0.16572939,  0.2657891 ,  0.6155974 ,
        0.3204941 ], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
7,"[-0.0053078792989254, -1.8142926692962646, 0.3380558490753174, -0.022969601675868034, 0.04068651795387268, 0.041655104607343674, -2.9164579245843925e-05, -6.357926758937538e-05, 0.014053990133106709, 0.03169260546565056, 0.03504088521003723, 0.0785309299826622, -0.03411570191383362, -0.07665213942527771]","[-2.9164579245843925e-05, -6.357926758937538e-05]","[0.6002578139305115, 0.2999987304210663, 0.8238812685012817]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.00653365, -1.8035867 ,  0.3352447 , -0.01866641,  0.0509518 ,
        0.04699376], dtype=float32), 'joint_velocities': array([-0.08137929,  0.657336  , -0.16732661,  0.26139086,  0.6150435 ,
        0.32391495], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
8,"[-0.006566532421857119, -1.8044657707214355, 0.3351964056491852, -0.018906254321336746, 0.05097246542572975, 0.04708736017346382, -3.671661397675052e-05, -4.78576694149524e-05, 0.01856769248843193, 0.025727752596139908, 0.04633288085460663, 0.06352319568395615, -0.045149821788072586, -0.06192691996693611]","[-3.671661397675052e-05, -4.78576694149524e-05]","[0.600257933139801, 0.29999884963035583, 0.823881208896637]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.00787056, -1.793711  ,  0.33236423, -0.01467415,  0.06122755,
        0.05248186], dtype=float32), 'joint_velocities': array([-0.08224016,  0.65881956, -0.16793402,  0.256486  ,  0.61403936,
        0.32746485], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
9,"[-0.007879789918661118, -1.7946101427078247, 0.3323298692703247, -0.014919261448085308, 0.061241935938596725, 0.05257793888449669, -3.439094507484697e-05, -2.157062408514321e-05, 0.01842719130218029, 0.013868965208530426, 0.046006642282009125, 0.03385564312338829, -0.04482996091246605, -0.03291136026382446]","[-3.439094507484697e-05, -2.157062408514321e-05]","[0.6002580523490906, 0.29999876022338867, 0.8238810896873474]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.00922195, -1.7838289 ,  0.32948792, -0.01076667,  0.07147953,
        0.05803082], dtype=float32), 'joint_velocities': array([-0.08242884,  0.6598514 , -0.16860628,  0.2513502 ,  0.61276686,
        0.33106923], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
10,"[-0.009216307662427425, -1.7847362756729126, 0.329454630613327, -0.01101352833211422, 0.07149028033018112, 0.0581277571618557, -2.149731881218031e-05, 0.00016388612857554108, 0.013760415837168694, 3.642984665930271e-06, 0.034400973469018936, -0.0008968019974417984, -0.03349040821194649, 0.0009246743866242468]","[-2.149731881218031e-05, 0.00016388612857554108]","[0.6002585291862488, 0.2999993860721588, 0.8238814473152161]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.0105758 , -1.7739354 ,  0.32659665, -0.00691958,  0.08171058,
        0.06361924], dtype=float32), 'joint_velocities': array([-0.08223103,  0.6606898 , -0.16947977,  0.24627054,  0.6112688 ,
        0.3344384 ], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_10.npy,data/images/camera2/frame_10.npy
11,"[-0.01057023648172617, -1.7748477458953857, 0.326565682888031, -0.007184858899563551, 0.08171411603689194, 0.06373065710067749, 0.0033426994923502207, 0.0035912867169827223, 0.009642998687922955, 1.5286182133422699e-06, 0.02114228531718254, -0.0039508589543402195, -0.02045486494898796, 0.003979452885687351]","[0.0033426994923502207, 0.0035912867169827223]","[0.6002575755119324, 0.2999987006187439, 0.8238813281059265]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.01194548, -1.7640342 ,  0.3236941 , -0.00319814,  0.09190669,
        0.06930035], dtype=float32), 'joint_velocities': array([-0.08177672,  0.6615849 , -0.17029344,  0.2404606 ,  0.60943425,
        0.33809817], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_10.npy,data/images/camera2/frame_10.npy
12,"[-0.011928185820579529, -1.764947533607483, 0.32366690039634705, -0.003458911320194602, 0.09190689027309418, 0.06939906626939774, 0.0024515471886843443, 0.00152788741979748, 1.57354338625737e-06, 0.00011257795267738402, -0.002934784395620227, -0.00193302845582366, 0.002838432788848877, 0.002013868885114789]","[0.0024515471886843443, 0.00152788741979748]","[0.6002579927444458, 0.2999991476535797, 0.8238813281059265]","[0.8, 0.7, 1.0]","{'joint_positions': array([-1.3302442e-02, -1.7541233e+00,  3.2079086e-01,  3.9503351e-04,
        1.0206875e-01,  7.5054571e-02], dtype=float32), 'joint_velocities': array([-0.08109604,  0.66223466, -0.17121187,  0.23425747,  0.60737157,
        0.34183893], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_10.npy,data/images/camera2/frame_10.npy
13,"[-0.01329005230218172, -1.7550380229949951, 0.32075434923171997, 0.0001641428389120847, 0.10206511616706848, 0.07512969523668289, 0.0029772885609418154, 0.0030098375864326954, 1.502255145169329e-06, 0.0027733503375202417, -0.0026857738848775625, 0.003341002855449915, 0.0026856018230319023, -0.0031153273303061724]","[0.0029772885609418154, 0.0030098375864326954]","[0.6002578735351562, 0.29999861121177673, 0.8238813281059265]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.01465659, -1.7442021 ,  0.31785652,  0.00394628,  0.11219196,
        0.08082475], dtype=float32), 'joint_velocities': array([-0.08024713,  0.662834  , -0.1724195 ,  0.22852874,  0.6050561 ,
        0.3450035 ], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_10.npy,data/images/camera2/frame_10.npy
14,"[-0.014634816907346249, -1.745118498802185, 0.3178238272666931, 0.0036958998534828424, 0.11218465864658356, 0.08091074228286743, 0.0008478691452182829, 0.0007776557467877865, 5.193869583308697e-07, 0.001631654449738562, -0.0006875917315483093, 0.002566826995462179, 0.0006900450098328292, -0.0024331628810614347]","[0.0008478691452182829, 0.0007776557467877865]","[0.6002585291862488, 0.2999996542930603, 0.8238813281059265]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.01598722, -1.7342727 ,  0.31490856,  0.00738437,  0.1222748 ,
        0.08665836], dtype=float32), 'joint_velocities': array([-0.07923597,  0.6633415 , -0.17367892,  0.22241206,  0.6024974 ,
        0.34823453], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_10.npy,data/images/camera2/frame_10.npy
15,"[-0.015967296436429024, -1.7351915836334229, 0.31487491726875305, 0.007129248231649399, 0.12226154655218124, 0.08674408495426178, -4.269582404958783e-06, 1.7650503423283226e-06, 0.0020950320176780224, 0.002642386592924595, 0.005433962214738131, 0.005873537622392178, -0.005280648823827505, -0.005667573772370815]","[-4.269582404958783e-06, 1.7650503423283226e-06]","[0.600257933139801, 0.29999881982803345, 0.8238811492919922]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.01729735, -1.7243357 ,  0.31193537,  0.01072227,  0.13230745,
        0.09254235], dtype=float32), 'joint_velocities': array([-0.07803048,  0.66377926, -0.1751015 ,  0.21613778,  0.5996599 ,
        0.35137954], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_10.npy,data/images/camera2/frame_10.npy
16,"[-0.017274755984544754, -1.7252577543258667, 0.31190428137779236, 0.010460615158081055, 0.13229109346866608, 0.09262922406196594, -7.525332875957247e-06, -9.579780453350395e-06, 0.004320783074945211, 0.004496395122259855, 0.01096400711685419, 0.010431548580527306, -0.010659638792276382, -0.01010249461978674]","[-7.525332875957247e-06, -9.579780453350395e-06]","[0.6002582907676697, 0.29999956488609314, 0.8238813281059265]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.01858825, -1.7143949 ,  0.30894175,  0.0139497 ,  0.14229092,
        0.09847987], dtype=float32), 'joint_velocities': array([-0.07673498,  0.66428286, -0.17648531,  0.20960207,  0.5965723 ,
        0.3543973 ], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_10.npy,data/images/camera2/frame_10.npy
17,"[-0.018563294783234596, -1.7153173685073853, 0.3089124858379364, 0.013685634359717369, 0.14226898550987244, 0.09856393188238144, -8.503669960191473e-06, -1.2304592928558122e-05, 0.005199181381613016, 0.00587126798927784, 0.013165082782506943, 0.01384038757532835, -0.012800394557416439, -0.013420859351754189]","[-8.503669960191473e-06, -1.2304592928558122e-05]","[0.6002582311630249, 0.2999996840953827, 0.8238813877105713]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.01985574, -1.7044466 ,  0.30592677,  0.01706741,  0.15221743,
        0.10446426], dtype=float32), 'joint_velocities': array([-0.07533713,  0.66470325, -0.1779745 ,  0.20290768,  0.593241  ,
        0.35730967], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_10.npy,data/images/camera2/frame_10.npy
18,"[-0.01983053795993328, -1.705370306968689, 0.3058980405330658, 0.016802091151475906, 0.15219105780124664, 0.10454673320055008, -6.644231234531617e-06, -1.2808986866730265e-05, 0.0045798360370099545, 0.006461963523179293, 0.011642730794847012, 0.01529438141733408, -0.011318131349980831, -0.01483657956123352]","[-6.644231234531617e-06, -1.2808986866730265e-05]","[0.6002584099769592, 0.2999996542930603, 0.823881208896637]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.02110013, -1.6944926 ,  0.3028876 ,  0.02007354,  0.16208418,
        0.11049537], dtype=float32), 'joint_velocities': array([-0.07381237,  0.6650956 , -0.17952393,  0.19605283,  0.58967143,
        0.36010092], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_10.npy,data/images/camera2/frame_10.npy
19,"[-0.021074850112199783, -1.6954180002212524, 0.30285966396331787, 0.01980692334473133, 0.16205330193042755, 0.11057587713003159, -2.7230180421611294e-06, -1.0088119779538829e-05, 0.002756700851023197, 0.006219297181814909, 0.007127176970243454, 0.01468278095126152, -0.006924788933247328, -0.014241276308894157]","[-2.7230180421611294e-06, -1.0088119779538829e-05]","[0.6002589464187622, 0.29999956488609314, 0.8238815069198608]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.02232006, -1.6845348 ,  0.29982474,  0.02296473,  0.17188668,
        0.11657097], dtype=float32), 'joint_velocities': array([-0.07217681,  0.6654472 , -0.18111752,  0.18904573,  0.58586943,
        0.3627656 ], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_10.npy,data/images/camera2/frame_10.npy
20,"[-0.022294767200946808, -1.6854602098464966, 0.29979661107063293, 0.02269764617085457, 0.1718517392873764, 0.11664948612451553, 6.376833334797993e-05, 6.623824447160587e-05, 0.00040418983553536236, 0.005422120448201895, 0.0012576698791235685, 0.012631821446120739, -0.0012154532596468925, -0.012241757474839687]","[6.376833334797993e-05, 6.623824447160587e-05]","[0.6002585887908936, 0.29999974370002747, 0.823881208896637]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.02351404, -1.6745708 ,  0.2967337 ,  0.02574073,  0.1816218 ,
        0.12268907], dtype=float32), 'joint_velocities': array([-0.07043222,  0.6657767 , -0.18279347,  0.18192029,  0.5818488 ,
        0.36530045], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_20.npy,data/images/camera2/frame_20.npy
21,"[-0.023488875478506088, -1.6754982471466064, 0.2967076599597931, 0.025469576939940453, 0.18158267438411713, 0.12276716530323029, 0.001077276305295527, 0.0010421188781037927, 6.979889235481096e-07, 0.0053773303516209126, -0.0010160417295992374, 0.011272311210632324, 0.0009866380132734776, -0.010899967513978481]","[0.001077276305295527, 0.0010421188781037927]","[0.6002589464187622, 0.29999953508377075, 0.8238813877105713]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.02468312, -1.6646045 ,  0.2936172 ,  0.02839095,  0.19128574,
        0.1288512 ], dtype=float32), 'joint_velocities': array([-0.06858345,  0.6661009 , -0.18447444,  0.17462006,  0.57761365,
        0.3677112 ], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_20.npy,data/images/camera2/frame_20.npy
22,"[-0.024657364934682846, -1.6655316352844238, 0.293592244386673, 0.0281241312623024, 0.19124208390712738, 0.12892377376556396, 0.0006587791140191257, 0.0006796103552915156, 0.0007397807203233242, 0.003736763494089246, 0.0015320488018915057, 0.007829095236957073, -0.0014678334118798375, -0.007554413750767708]","[0.0006587791140191257, 0.0006796103552915156]","[0.6002586483955383, 0.2999998927116394, 0.8238810896873474]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.02581996, -1.6546319 ,  0.29047292,  0.03093117,  0.20087494,
        0.13504514], dtype=float32), 'joint_velocities': array([-0.06664378,  0.6662999 , -0.18628225,  0.1673262 ,  0.57319146,
        0.3699644 ], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_20.npy,data/images/camera2/frame_20.npy
23,"[-0.02579321712255478, -1.6555614471435547, 0.29044896364212036, 0.030661894008517265, 0.20082731544971466, 0.13511651754379272, -4.882919029114419e-07, 3.552756243152544e-05, 0.0009984982898458838, 0.0022991502191871405, 0.002852564211934805, 0.004936130251735449, -0.0027703638188540936, -0.004756748676300049]","[-4.882919029114419e-07, 3.552756243152544e-05]","[0.6002591848373413, 0.29999950528144836, 0.8238813877105713]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.02692256, -1.6446579 ,  0.28730065,  0.03334878,  0.21038608,
        0.14127459], dtype=float32), 'joint_velocities': array([-0.06458247,  0.6664605 , -0.18810788,  0.15989572,  0.56856567,
        0.37209958], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_20.npy,data/images/camera2/frame_20.npy
24,"[-0.02689575031399727, -1.6455888748168945, 0.2872772812843323, 0.03307902812957764, 0.21033477783203125, 0.14134490489959717, 5.6517357734264806e-05, 7.823184569133446e-05, 0.0016033416613936424, 0.0023903960827738047, 0.004270165227353573, 0.005079129245132208, -0.004147743806242943, -0.004897041711956263]","[5.6517357734264806e-05, 7.823184569133446e-05]","[0.6002587080001831, 0.2999997138977051, 0.8238813281059265]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.02799088, -1.6346833 ,  0.28409842,  0.03564425,  0.21981679,
        0.14753842], dtype=float32), 'joint_velocities': array([-0.06240037,  0.6665973 , -0.1899569 ,  0.15237798,  0.5637536 ,
        0.3740989 ], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_20.npy,data/images/camera2/frame_20.npy
25,"[-0.027963772416114807, -1.6356145143508911, 0.2840765714645386, 0.035374000668525696, 0.21976131200790405, 0.1476064920425415, 4.940661528962664e-05, 6.888301868457347e-05, 0.0015150322578847408, 0.0031270114704966545, 0.00407060794532299, 0.006905421148985624, -0.0039537628181278706, -0.006674858741462231]","[4.940661528962664e-05, 6.888301868457347e-05]","[0.6002591252326965, 0.2999996244907379, 0.8238813281059265]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.02902218, -1.6247063 ,  0.28086686,  0.03781526,  0.22916201,
        0.15383257], dtype=float32), 'joint_velocities': array([-0.06014479,  0.66666484, -0.19185838,  0.14479117,  0.5587607 ,
        0.37596628], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_20.npy,data/images/camera2/frame_20.npy
26,"[-0.02899552881717682, -1.6256392002105713, 0.2808459997177124, 0.037545669823884964, 0.22910383343696594, 0.15389932692050934, 5.545600288314745e-05, 6.990734982537106e-05, 0.0008896400686353445, 0.0043395995162427425, 0.0025197830982506275, 0.009895887225866318, -0.0024453590158373117, -0.009585550986230373]","[5.545600288314745e-05, 6.990734982537106e-05]","[0.6002587676048279, 0.29999977350234985, 0.8238811492919922]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.0300168 , -1.6147295 ,  0.27760246,  0.03986448,  0.23842281,
        0.16015628], dtype=float32), 'joint_velocities': array([-0.05777574,  0.66672   , -0.19378795,  0.13716564,  0.5536153 ,
        0.37768626], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_20.npy,data/images/camera2/frame_20.npy
27,"[-0.02999395877122879, -1.6156634092330933, 0.2775852382183075, 0.039593230932950974, 0.238359734416008, 0.160221129655838, 7.936073961900547e-05, 4.903447916149162e-05, 2.211003447882831e-06, 0.0056660533882677555, 0.00023990031331777573, 0.013182614929974079, -0.00023169803898781538, -0.012785042636096478]","[7.936073961900547e-05, 4.903447916149162e-05]","[0.6002580523490906, 0.29999879002571106, 0.8238810300827026]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.03096952, -1.6047553 ,  0.2743141 ,  0.04177138,  0.2475923 ,
        0.16651835], dtype=float32), 'joint_velocities': array([-0.05527419,  0.66660637, -0.1957207 ,  0.12933959,  0.54830736,
        0.379428  ], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_20.npy,data/images/camera2/frame_20.npy
28,"[-0.03095090389251709, -1.6056891679763794, 0.2742938995361328, 0.04151247441768646, 0.24752628803253174, 0.16657283902168274, 0.0001862169592641294, 5.7807548728305846e-05, 1.0141714028577553e-06, 0.0067627280950546265, 3.757636295631528e-05, 0.015862660482525826, -3.762304550036788e-05, -0.015395276248455048]","[0.0001862169592641294, 5.7807548728305846e-05]","[0.6002580523490906, 0.29999902844429016, 0.8238811492919922]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.0318846 , -1.5947835 ,  0.27099368,  0.04355222,  0.2566725 ,
        0.17290607], dtype=float32), 'joint_velocities': array([-0.05270858,  0.66652   , -0.19763432,  0.12149677,  0.54286844,
        0.38097712], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_20.npy,data/images/camera2/frame_20.npy
29,"[-0.03186602517962456, -1.5957164764404297, 0.27097222208976746, 0.04330410063266754, 0.2566010653972626, 0.1729501485824585, 2.9753611670457758e-05, 3.1450719689019024e-05, 0.0007114466279745102, 0.00730879046022892, 0.002091076457872987, 0.01723633147776127, -0.0020335218869149685, -0.016734907403588295]","[2.9753611670457758e-05, 3.1450719689019024e-05]","[0.6002580523490906, 0.2999989688396454, 0.823881208896637]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.03275794, -1.5848112 ,  0.26763505,  0.04523955,  0.26565385,
        0.1792898 ], dtype=float32), 'joint_velocities': array([-0.05012137,  0.66639686, -0.19965903,  0.11399949,  0.5372651 ,
        0.38209853], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_20.npy,data/images/camera2/frame_20.npy
30,"[-0.03273306041955948, -1.585745930671692, 0.2676187753677368, 0.044974494725465775, 0.2655816674232483, 0.17934580147266388, 1.771686766005587e-05, 2.261424197058659e-05, 0.0010353177785873413, 0.007278394885361195, 0.0029423381201922894, 0.017170622944831848, -0.002860441105440259, -0.016670506447553635]","[1.771686766005587e-05, 2.261424197058659e-05]","[0.6002591252326965, 0.29999977350234985, 0.8238814473152161]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.03358505, -1.5748416 ,  0.26424676,  0.04678757,  0.27454233,
        0.18570359], dtype=float32), 'joint_velocities': array([-0.04746156,  0.6662729 , -0.20163338,  0.10629621,  0.5315522 ,
        0.38321215], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_30.npy,data/images/camera2/frame_30.npy
31,"[-0.03355889022350311, -1.5757776498794556, 0.2642342448234558, 0.04651961848139763, 0.274465948343277, 0.18576043844223022, 1.6887042875168845e-05, 2.673255221452564e-05, 0.0008414682233706117, 0.006804170552641153, 0.002474051434546709, 0.01598333939909935, -0.0024055493995547295, -0.015514071099460125]","[1.6887042875168845e-05, 2.673255221452564e-05]","[0.6002585291862488, 0.2999996542930603, 0.8238812685012817]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.03436814, -1.5648754 ,  0.26082942,  0.04820686,  0.28333178,
        0.19213647], dtype=float32), 'joint_velocities': array([-0.04472959,  0.6660626 , -0.2036048 ,  0.09856619,  0.5257207 ,
        0.3842191 ], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_30.npy,data/images/camera2/frame_30.npy
